Name,URL,Hash,Test,No_Runs
levitate,https://github.com/AppliedAcousticsChalmers/levitate,f6b2b2666e82bbff0ef5664aa687bb87876467cb,levitate/tests/test_optimization.py::test_optimization::test_jacobian_accuracy[SphericalHarmonicsExpansionGradient-kwargs69-True-weight69],180.0
levitate,https://github.com/AppliedAcousticsChalmers/levitate,f6b2b2666e82bbff0ef5664aa687bb87876467cb,levitate/tests/test_optimization.py::test_optimization::test_jacobian_accuracy[SphericalHarmonicsExpansionGradient-kwargs70-True-weight70],180.0
nnweaver,https://github.com/gvinciguerra/nnweaver,e7a94d743f6eb118592524e30f54cda22cdc5e81,nnweaver/test/optimizers_test.py::optimizers_test::test_sgd_circles,200.0
override,https://github.com/davidhyman/override,e34bd3c8676233439de5c002367b3bff5c1b88d6,override/tests/test_example.py::TestFunctionalExample::test_example,200.0
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0,packeteer/tests/field_string_test.py::field_string_test::test_dynamic_string,180.0
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0,packeteer/tests/field_string_test.py::field_string_test::test_static_string,180.0
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0,packeteer/tests/field_string_test.py::field_string_test::test_variable_string,180.0
piripherals,https://github.com/quantenschaum/piripherals,74e4807a64363e3c95a03222fa250a1073387eaf,piripherals/tests/test_mpr121.py::test_mpr121::test_mpr121_irq,180.0
pybnn,https://github.com/automl/pybnn,6bd277421b83f882fa43d8dad2b7851b9682aa4b,pybnn/test/test_bohamiann.py::TestBohamiann::test_gradient_mean,180.0
pybnn,https://github.com/automl/pybnn,6bd277421b83f882fa43d8dad2b7851b9682aa4b,pybnn/test/test_bohamiann.py::TestBohamiann::test_gradient_variance,180.0
pylabeledrf,https://github.com/dessimozlab/pylabeledrf,23e2c2b2c73d35b6c87dd332b45da8d31c0ea63f,pylabeledrf/test/test_computeLRF.py::UtilTest::test_computeLRF1,200.0
pylabeledrf,https://github.com/dessimozlab/pylabeledrf,23e2c2b2c73d35b6c87dd332b45da8d31c0ea63f,pylabeledrf/test/test_computeLRF.py::UtilTest::test_computeLRF2,200.0
