Project_Name,Project_URL,Project_Hash,Num_Runs
SSLyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,180.0
SSMToybox,https://github.com/jacobnzw/SSMToybox,b3a8c05fa1b0d85356ac6554009af38ff2720780,160.0
Santaslist,https://github.com/obihann/Santaslist,e678a70b41047defc42261d0b483fb75677c5c10,200.0
SimPyClassic,https://github.com/SimPyClassic/SimPyClassic,b59fb83742e484f2c590ed005ac911868727d59d,200.0
SlideRunner,https://github.com/maubreville/SlideRunner,2a68af8b9cb2238d95cfe3281379de40b5469fc0,200.0
StrangeCase,https://github.com/colinta/StrangeCase,dd2385745dba1211439fc1d0b0dae72b30e4b3b2,180.0
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,80.0
Twitch-Python,https://github.com/PetterKraabol/Twitch-Python,49ddf2c826f147e009d0931eee59cf81ad5fea7d,180.0
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02,180.0
WattTime,https://github.com/stoltzmaniac/WattTime,1f2761a752c6cc241c20e854a7a247349b57be36,180.0
WikidataIntegrator,https://github.com/sulab/WikidataIntegrator,2ce3477b47447e335dd5e7413396fecf306c7146,180.0
YAROM,https://github.com/openworm/YAROM,cd4fb6cb8fac72a198858225ce89ad8b9c9175fd,200.0
Yinotify,https://github.com/peter-zyj/Yinotify,3adde3a7f2847bf45f5958e98fe7618d3d02ce16,120.0
accessify,https://github.com/dmytrostriletskyi/accessify,6b7cf8657ffe18cd6a43c6cfb73b071084f0331e,180.0
acme-mgmtserver,https://github.com/mswart/acme-mgmtserver,c3a0d90f80ced8724515e7bbec3764b16581e5b6,200.0
aiobfd,https://github.com/netedgeplus/aiobfd,090122474d5bf6266393f0908c13be5812fdb1c3,200.0
aiopylimit,https://github.com/dmarkey/aiopylimit,b4075a8ac30dbbef59a2243f618a35a2f54b590c,180.0
airflow_xplenty,https://github.com/apartmentlist/airflow_xplenty,445c21782b985bfdbfffa4608a1dc90411af8aed,160.0
alertlogicAPI,https://github.com/Fabio-CS/alertlogicAPI,8c5176ea611479aeb5475d6fd98f2a3688a7a631,200.0
alphanum-code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,180.0
andriller,https://github.com/den4uk/andriller,5e856ca92ef7e9bf732f28cbd8e341181976654f,20.0
anonapi,https://github.com/sjoerdk/anonapi,5e70dfd9fcb7dcc4e2345a6a153d9530f4886e73,180.0
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,180.0
appnexus-client,https://github.com/numberly/appnexus-client,8d39ff7b9d290e0e1b9d16ea7302c0288f495bef,180.0
apyhgnc,https://github.com/robertopreste/apyhgnc,26efa764a2262cfa12c8a2f0f077569e7f3e4e79,180.0
argutil,https://github.com/cmccandless/argutil,15b4d309fefe7a2d7648dac3974bd22ba7b1030a,200.0
aries-staticagent-python,https://github.com/hyperledger/aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,200.0
astrocyte,https://github.com/dbbs-lab/astrocyte,3fa30fa2897ef1ea4dd94b2c9d6ddd3efb2a2b1a,180.0
async-kinesis-client,https://github.com/whale2/async-kinesis-client,e7df499141854b8b7638a7ab0adce14a4d28201e,180.0
asyncloop,https://github.com/dgkim5360/asyncloop,e4f50156a74ee6430a8ade66f201ba61066396e4,180.0
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,200.0
aud,https://github.com/zdhoward/aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,180.0
auth0-python,https://github.com/auth0/auth0-python,1571b18535c46502e39e70f988f96624f2dfef21,5.0
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,200.0
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,180.0
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,180.0
autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,200.0
autoyaml,https://github.com/martyni/autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,180.0
avwx-engine,https://github.com/avwx-rest/avwx-engine,ed1d3e9a91fe0431e701caac4fc02ff2bfaecc04,5.0
aws-lambda-decorators,https://github.com/gridsmartercities/aws-lambda-decorators,bbd25a7002b99e57fe7da225b6aad06cb1e43b9c,160.0
awsume,https://github.com/trek10inc/awsume,e1fb812d14fd4f4508ceaf9c51dcdb8d091284c2,200.0
axondeepseg,https://github.com/neuropoly/axondeepseg,7a0e6f130f79086de35c2d996612dae132ebfc3e,180.0
b2-sdk-python,https://github.com/Backblaze/b2-sdk-python,1984e90256ff7c4233d25e2485493057f9364dd6,200.0
baas-sdk-python,https://github.com/nec-baas/baas-sdk-python,83b0916af0e4f3167a232ac7eb06b82331adc172,80.0
bankroll,https://github.com/bankroll-py/bankroll,f1f147143e0fc8380267bee91da7d6fb4f409ada,180.0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,100.0
basic_auth,https://github.com/rorymurdock/basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,180.0
benchbuild,https://github.com/PolyJIT/benchbuild,2ab959e84fc9119813c46de1034ffaefc2ee391b,5.0
blinkpy,https://github.com/fronzbot/blinkpy,ed4450778d6802990006dd9fb1b14e2c98520018,5.0
