| event      |  arg | line | offset |       opcode       |               locals                |
| opcode     | None |         14 |     50 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 2} |
| opcode     | None |         14 |     52 |COMPARE_OP         | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 2} |
| opcode     | None |       None |     82 |JUMP_ABSOLUTE      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 2} |
| line       | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 2} |
| opcode     | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 2} |
| line       | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     42 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     44 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     46 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     48 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     50 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         14 |     52 |COMPARE_OP         | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |       None |     82 |JUMP_ABSOLUTE      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| line       | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| opcode     | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 3} |
| line       | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     42 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     44 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     46 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     48 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     50 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         14 |     52 |COMPARE_OP         | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |       None |     82 |JUMP_ABSOLUTE      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| line       | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| opcode     | None |         13 |     36 |FOR_ITER           | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 4} |
| line       | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 5} |
| opcode     | None |         14 |     40 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 5} |
| opcode     | None |         14 |     42 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 5} |
| opcode     | None |         14 |     44 |BINARY_SUBSCR      | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 5} |
| opcode     | None |         14 |     46 |LOAD_FAST          | {'v': [0, 1, 2, 3, 4, 5], 'i': 0, 'j': 5} |
